PhraseId,Sentiment
156061,3
156062,3
156063,3
156064,3
156065,3
156066,3
156067,3
156068,3
156069,3
156070,2
156071,1
156072,2
156073,1
156074,3
156075,3
156076,4
156077,3
156078,4
156079,4
156080,2
156081,2
156082,2
156083,1
156084,2
156085,2
156086,2
156087,2
156088,2
156089,4
156090,2
156091,4
156092,4
156093,1
156094,3
156095,2
156096,3
156097,1
156098,3
156099,1
156100,3
156101,2
156102,3
156103,3
156104,3
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,1
156112,2
156113,1
156114,1
156115,1
156116,1
156117,2
156118,1
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,3
156129,2
156130,3
156131,2
156132,3
156133,3
156134,2
156135,3
156136,3
156137,2
156138,3
156139,3
156140,3
156141,3
156142,3
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,3
156155,1
156156,2
156157,1
156158,2
156159,1
156160,2
156161,3
156162,2
156163,3
156164,2
156165,3
156166,3
156167,3
156168,3
156169,2
156170,2
156171,3
156172,1
156173,1
156174,4
156175,4
156176,3
156177,3
156178,3
156179,2
156180,3
156181,3
156182,2
156183,3
156184,2
156185,4
156186,4
156187,4
156188,3
156189,2
156190,3
156191,3
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,3
156202,2
156203,3
156204,2
156205,3
156206,3
156207,1
156208,1
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,2
156216,2
156217,2
156218,2
156219,4
156220,2
156221,4
156222,4
156223,1
156224,1
156225,1
156226,1
156227,2
156228,1
156229,2
156230,2
156231,1
156232,2
156233,1
156234,2
156235,1
156236,4
156237,1
156238,4
156239,3
156240,4
156241,3
156242,3
156243,4
156244,4
156245,3
156246,4
156247,3
156248,3
156249,3
156250,4
156251,4
156252,1
156253,1
156254,1
156255,1
156256,1
156257,1
156258,2
156259,3
156260,2
156261,2
156262,3
156263,3
156264,3
156265,2
156266,3
156267,3
156268,3
156269,1
156270,1
156271,2
156272,4
156273,2
156274,4
156275,4
156276,4
156277,4
156278,4
156279,4
156280,3
156281,3
156282,3
156283,3
156284,2
156285,2
156286,3
156287,3
156288,3
